---,1.000000,2.000000,3.000000,4.000000,5.000000
PlayerStat.MoveSpeed,5.000000,5.000000,5.000000,5.000000,5.000000
PlayerStat.AttackPower,10.000000,5.000000,5.000000,10.000000,10.000000
PlayerStat.AttackSpeed,10.000000,5.000000,5.000000,5.000000,5.000000
PlayerStat.DamageResistance,5.000000,5.000000,5.000000,5.000000,5.000000
PlayerStat.CriticalChance,2.000000,3.000000,3.000000,2.000000,2.000000
PlayerStat.CriticalDamage,25.000000,25.000000,25.000000,25.000000,50.000000
PlayerStat.Range,10.000000,15.000000,15.000000,25.000000,25.000000
PlayerStat.SkillCoolTime,1.000000,1.500000,1.500000,1.000000,1.500000
PlayerStat.MaxHealth,15.000000,10.000000,25.000000,30.000000,30.000000
